"Household final consumption expenditure, quarterly, Canada (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 36-10-0107-01 (formerly CANSIM 380-0067)"
"Release date: 2023-05-31"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023"
"Communications  [C181]","1,018","1,018","1,050","1,061","1,083","1,094","1,104","1,137","1,137","1,159","1,202","1,213","1,234","1,267","1,267","1,289","1,299","1,310","1,340","1,375","1,397","1,437","1,473","1,527","1,538","1,567","1,613","1,668","1,665","1,676","1,741","1,711","1,781","1,811","1,825","1,908","1,895","1,995","1,903","2,019","2,090","2,147","2,157","2,214","2,248","2,258","2,315","2,363","2,421","2,478","2,533","2,627","2,679","2,816","2,814","2,890","2,977","3,096","3,130","3,156","3,343","3,513","3,545","3,557","3,571","3,533","3,667","3,664","3,787","3,878","3,971","4,026","4,081","4,309","4,347","4,422","4,522","4,642","4,820","4,846","4,901","5,106","5,135","5,083","5,056","4,911","5,000","5,092","5,056","5,114","5,101","5,059","5,415","5,324","5,309","5,419","5,510","5,611","5,811","5,972","5,886","6,204","6,334","6,403","6,481","6,600","6,666","6,774","7,135","7,305","7,386","7,644","7,989","8,030","8,101","8,369","8,519","8,634","8,804","8,965","8,806","8,920","8,925","8,912","9,120","9,186","9,252","9,275","9,365","9,376","9,449","9,506","9,628","9,715","9,749","9,697","10,207","10,463","10,602","10,765","10,884","10,918","11,066","11,144","11,355","11,414","11,602","11,579","11,707","12,105","12,440","12,660","12,797","13,070","13,185","13,703","14,204","14,584","14,782","14,999","15,171","15,394","15,712","16,151","16,650","17,043","17,245","17,367","17,602","17,683","17,804","17,993","18,370","18,695","18,924","19,188","19,505","19,927","20,258","20,586","20,907","21,137","21,417","21,649","21,759","21,851","21,998","22,261","22,182","22,364","22,751","23,152","23,758","23,989","24,140","24,091","23,966","23,997","24,197","24,570","24,927","25,125","25,249","25,317","25,320","25,396","25,592","25,928","26,173","26,408","26,493","26,497","26,425","26,426","26,500","26,593","26,608","26,675","26,828","26,927","27,276","27,597","28,040","28,443","29,133","29,784","30,337","30,771","31,275","31,588","32,106","32,379","32,895","33,367","33,665","34,024","33,916","34,067","34,903","35,510","36,369","37,040","37,565","38,092","38,434","38,989","39,272","40,070","41,002"
"Recreation and culture  [C19]","4,478","4,579","4,817","4,802","5,045","5,060","5,063","5,052","5,075","5,235","5,358","5,291","5,429","5,503","5,652","5,906","5,966","6,055","6,365","6,555","6,611","6,760","6,894","7,129","7,271","7,766","8,054","7,826","7,860","8,180","8,333","8,408","9,001","9,019","9,068","9,295","9,105","9,482","9,731","9,653","10,022","10,429","11,086","11,736","11,993","12,329","12,756","13,098","13,829","14,156","14,507","15,030","16,282","16,416","16,387","16,258","16,697","16,864","17,407","17,989","18,390","19,162","19,448","19,618","19,644","19,542","19,752","20,334","20,781","20,863","21,471","21,778","21,927","22,319","22,220","22,550","22,521","22,530","22,971","23,594","24,237","24,335","24,089","24,135","23,798","23,674","23,566","23,456","24,056","24,238","24,921","25,478","26,338","26,822","26,757","27,455","27,683","28,205","28,812","29,268","29,531","30,515","31,400","31,367","30,920","32,046","32,717","33,383","33,777","34,488","34,832","35,474","35,708","35,827","35,566","35,638","36,597","35,871","35,452","35,483","34,667","35,076","35,292","35,961","35,722","36,905","37,050","37,635","37,827","37,629","38,004","38,179","39,645","39,996","41,231","42,131","42,341","42,611","42,933","43,098","43,813","44,462","44,870","45,344","46,671","47,282","48,918","48,985","50,420","51,357","52,629","52,721","53,849","54,840","55,916","56,533","57,770","58,388","59,675","60,755","61,171","61,216","61,420","62,736","63,344","64,431","64,299","64,457","64,801","65,589","65,593","66,086","67,245","67,584","68,929","68,509","70,088","70,923","71,103","73,001","74,559","74,689","75,343","76,833","77,991","79,107","80,176","82,037","81,726","82,296","83,071","83,273","82,755","82,178","81,838","82,188","83,341","84,023","84,294","84,809","84,522","84,474","84,965","86,414","86,568","86,361","86,685","86,750","86,481","87,378","87,793","87,938","87,814","88,489","88,694","89,769","89,062","88,925","89,518","90,116","90,229","89,181","89,755","90,146","91,763","92,335","92,802","94,068","94,900","95,553","95,424","96,480","95,700","96,341","96,090","96,040","92,568","77,732","92,580","93,091","94,310","92,152","98,495","99,330","97,966","104,578","101,931","102,825","104,858"
"Audio-visual, photographic and information processing equipment  [C191]","71","72","80","80","90","91","90","91","88","93","95","94","94","96","102","108","109","110","118","122","124","131","134","136","140","158","160","152","157","180","181","190","209","206","216","227","210","230","239","221","243","256","286","311","319","333","354","366","382","401","413","432","460","458","451","455","468","476","499","519","526","565","582","590","594","593","613","620","646","662","680","701","721","741","762","777","789","806","856","908","999","1,030","1,011","1,006","1,007","1,011","1,025","1,067","1,134","1,147","1,227","1,253","1,333","1,368","1,395","1,452","1,449","1,517","1,595","1,668","1,620","1,653","1,692","1,707","1,713","1,755","1,794","1,831","1,911","1,932","1,981","2,033","2,124","2,163","2,122","2,128","2,162","2,150","2,105","2,197","2,104","2,192","2,252","2,229","2,228","2,287","2,325","2,395","2,402","2,351","2,380","2,388","2,463","2,523","2,590","2,687","2,733","2,724","2,787","2,808","2,876","2,963","3,044","3,135","3,171","3,255","3,433","3,485","3,579","3,711","3,834","3,891","4,047","4,249","4,350","4,517","4,716","4,833","4,944","5,080","5,253","5,288","5,330","5,517","5,639","5,782","5,807","5,958","6,089","6,235","6,399","6,439","6,728","6,896","7,058","7,133","7,454","7,642","7,850","8,161","8,549","8,756","9,069","9,385","9,649","10,085","10,364","10,726","11,124","11,464","11,803","11,862","11,507","11,276","11,511","12,078","12,481","12,714","13,086","13,586","13,676","13,707","13,698","14,220","14,043","14,264","14,180","14,189","14,284","14,629","14,650","14,716","14,963","15,037","15,155","15,449","15,269","14,831","15,040","15,180","15,217","15,377","15,410","15,798","16,222","16,629","16,732","17,220","17,991","18,138","17,959","18,407","18,689","19,327","18,940","18,859","19,369","21,840","23,218","22,158","23,479","22,789","22,460","21,903","22,106","23,843","23,010","22,747","25,170"
"Other major durables for recreation and culture  [C192]","407","484","504","465","581","484","504","509","581","615","581","523","562","567","635","712","770","770","853","853","911","930","935","940","969","1,012","979","1,022","1,056","1,143","1,172","1,221","1,332","1,381","1,453","1,473","1,395","1,444","1,516","1,468","1,458","1,659","1,839","2,040","2,052","2,185","2,174","2,256","2,409","2,417","2,515","2,728","3,022","2,944","3,070","2,791","2,869","2,802","2,767","2,732","2,716","2,806","2,728","2,759","2,846","2,669","2,665","2,751","2,850","2,806","2,944","3,022","2,908","2,991","2,889","2,881","2,826","2,810","2,795","2,846","2,936","2,913","2,935","3,031","2,606","2,445","2,350","2,291","2,350","2,430","2,607","2,652","2,712","2,815","2,806","2,718","2,912","2,937","2,927","2,990","3,095","3,238","3,391","3,364","3,435","3,627","3,681","3,850","3,806","4,060","3,932","4,130","4,069","4,076","3,937","3,831","3,963","3,913","3,834","3,633","3,413","3,389","3,339","3,420","3,273","3,592","3,466","3,565","3,501","3,505","3,447","3,466","3,515","3,527","3,672","3,865","3,881","3,912","3,935","3,835","3,885","3,875","3,793","3,834","4,011","4,059","4,126","4,138","4,295","4,359","4,440","4,495","4,704","4,574","4,708","4,444","4,629","4,783","4,952","5,055","5,002","5,093","4,933","5,035","5,318","5,219","5,159","5,133","5,326","5,397","5,374","5,196","5,428","5,418","5,473","5,546","5,642","5,744","5,793","5,742","6,024","6,300","6,383","6,164","6,371","6,788","6,731","6,806","6,798","6,810","6,854","6,810","6,509","6,404","6,362","6,243","6,381","6,432","6,552","6,410","6,259","6,498","6,651","6,755","6,692","6,828","6,796","6,924","7,185","7,164","7,127","7,045","7,090","7,107","7,291","7,642","7,401","7,097","7,168","7,210","7,382","7,133","7,066","7,226","7,447","7,695","7,600","7,651","7,521","8,071","7,950","7,817","7,837","7,828","7,634","7,214","6,961","6,946","9,699","9,855","9,986","9,789","8,371","8,720","8,808","8,146","8,242","7,866","7,995"
"Other recreational items and equipment, garden products and pets  [C193]","1,457","1,499","1,582","1,562","1,582","1,686","1,645","1,603","1,577","1,645","1,754","1,749","1,791","1,801","1,791","1,916","1,879","1,905","1,910","1,968","1,957","1,978","1,983","2,040","2,165","2,098","2,269","2,243","2,322","2,426","2,556","2,467","2,707","2,686","2,519","2,613","2,665","2,660","2,754","2,884","2,852","2,930","3,098","3,180","3,273","3,371","3,476","3,554","3,760","3,924","4,010","4,138","4,454","4,423","4,474","4,372","4,524","4,446","4,657","4,918","5,015","5,276","5,257","5,296","5,237","5,179","5,327","5,491","5,600","5,561","5,685","5,869","5,931","6,060","6,024","6,021","5,970","5,892","5,927","5,954","5,966","5,888","5,817","5,738","5,874","5,851","5,764","5,717","5,813","5,790","6,024","6,115","6,198","6,397","6,432","6,429","6,438","6,492","6,564","6,569","6,625","6,903","7,097","7,141","7,023","7,268","7,339","7,544","7,425","7,575","7,670","7,720","7,764","7,776","7,903","7,855","8,001","7,934","7,986","7,992","7,684","7,775","7,815","8,122","8,079","8,260","8,330","8,634","8,665","8,781","8,674","8,682","8,902","9,031","9,264","9,543","9,653","9,763","9,774","9,522","9,833","9,911","9,931","10,020","10,108","10,372","10,705","10,512","10,990","11,139","11,400","11,196","11,401","11,543","11,746","11,707","11,994","12,122","12,487","12,646","12,704","12,834","12,809","13,093","13,361","13,525","13,597","13,734","13,853","13,953","13,952","14,127","14,300","14,443","14,701","14,802","15,023","15,371","15,375","15,616","16,121","16,304","16,598","16,710","17,410","17,607","18,050","18,130","18,184","18,435","18,757","18,656","18,523","18,537","18,604","18,617","18,701","18,779","18,737","18,840","18,829","18,826","18,932","19,276","19,458","19,443","19,839","19,927","19,887","20,006","20,500","20,589","20,411","20,684","21,033","21,201","20,992","21,121","21,405","21,693","21,698","21,823","21,677","21,774","22,389","22,464","23,002","23,651","23,838","23,616","24,098","24,747","24,705","24,731","24,709","25,175","26,132","26,741","30,272","31,780","33,819","31,478","31,506","31,665","32,223","32,877","31,364","31,063","31,721"
"Recreational and cultural services  [C194]","2,404","2,484","2,564","2,604","2,594","2,624","2,714","2,744","2,824","2,824","2,894","2,874","3,035","3,075","3,055","3,035","3,165","3,235","3,405","3,485","3,626","3,646","3,756","3,966","3,986","4,627","4,827","4,447","4,377","4,106","4,146","4,056","4,327","4,407","4,427","4,607","4,647","5,008","5,078","5,258","5,759","5,786","5,842","6,091","6,229","6,146","6,382","6,582","6,963","7,074","7,392","7,738","8,209","8,666","8,479","8,763","9,247","9,669","9,829","10,099","10,749","10,832","11,255","11,351","11,462","11,691","11,303","11,940","12,016","11,947","12,535","12,632","12,646","12,570","12,466","13,200","13,130","13,186","13,248","13,746","13,774","13,788","13,623","13,693","13,580","13,689","13,851","13,430","13,471","13,642","13,295","13,848","14,336","14,326","13,934","14,851","14,973","15,113","15,278","15,416","16,119","16,947","17,627","17,533","16,863","17,646","18,116","18,153","18,686","18,901","19,021","19,278","19,180","19,033","18,795","19,275","20,087","19,272","18,899","18,827","19,321","19,436","19,443","19,915","19,972","20,704","20,759","20,634","20,895","20,729","21,494","21,745","23,085","23,108","24,090","24,219","24,124","24,368","24,575","25,354","25,364","26,006","26,475","26,714","27,720","27,827","28,846","29,135","29,552","30,016","30,890","31,035","31,438","32,003","32,549","33,280","33,696","33,819","34,304","35,038","35,136","34,770","35,131","35,801","35,464","36,495","36,276","35,896","35,583","36,052","35,695","36,239","36,513","36,324","37,229","36,368","37,201","37,248","36,958","38,413","38,431","37,687","37,459","38,760","38,620","38,314","38,685","39,964","38,918","38,716","38,656","38,975","39,358","39,105","38,505","38,235","38,739","38,999","38,815","38,759","38,580","38,393","38,634","39,136","39,383","38,904","38,980","38,962","38,465","38,856","38,697","38,873","38,676","38,891","38,571","38,867","38,919","39,361","39,547","39,718","39,725","38,963","39,634","39,477","39,948","39,789","39,832","40,169","40,194","40,240","39,893","40,090","39,363","39,451","39,672","39,869","35,922","20,508","26,745","26,734","24,724","25,950","33,536","34,159","32,330","37,060","37,157","38,694","38,433"
"Newspapers, books and stationery  [C195]","4,027","3,927","3,977","4,027","4,027","3,977","3,990","3,927","3,927","3,977","4,040","4,040","4,103","4,178","4,254","4,392","4,292","4,392","4,644","4,858","4,657","4,694","4,846","5,110","5,009","5,072","5,336","5,424","5,097","5,135","5,148","5,236","5,210","5,210","5,160","5,009","5,047","4,896","4,883","4,858","4,694","4,822","4,950","5,110","5,205","5,341","5,445","5,469","5,788","5,684","5,557","5,389","6,140","6,243","6,195","6,211","6,004","6,076","6,403","6,643","6,611","6,890","6,970","6,994","6,794","6,794","7,066","7,098","7,201","7,361","7,289","7,010","7,114","7,345","7,177","6,946","6,970","6,882","7,018","6,978","6,898","6,870","6,870","6,925","6,857","6,776","6,569","6,489","6,610","6,557","6,652","6,666","6,747","6,802","6,761","6,747","6,733","6,788","6,924","6,856","6,777","6,731","6,731","6,611","6,499","6,647","6,834","7,046","6,860","7,047","7,212","7,258","7,120","7,156","7,267","7,130","7,249","7,110","7,129","6,963","6,573","6,481","6,481","6,611","6,477","6,530","6,574","6,620","6,672","6,626","6,542","6,484","6,626","6,620","6,638","6,685","6,685","6,691","6,620","6,516","6,723","6,573","6,458","6,340","6,720","6,714","6,780","6,638","6,992","7,052","7,047","7,009","7,036","7,128","7,253","7,258","7,221","7,165","7,345","7,297","7,231","7,252","7,297","7,325","7,369","7,311","7,283","7,321","7,312","7,263","7,239","7,259","7,221","7,273","7,292","7,240","7,255","7,274","7,269","7,258","7,379","7,311","7,278","7,293","7,266","7,341","7,305","7,358","7,346","7,358","7,358","7,331","7,385","7,442","7,319","7,314","7,278","7,306","7,222","7,253","7,199","7,059","7,067","7,022","6,996","6,920","6,888","6,748","6,668","6,740","6,840","6,741","6,721","6,817","6,717","6,701","6,563","6,536","6,408","6,382","6,278","6,047","6,108","6,078","6,015","6,073","5,991","5,836","5,984","6,084","6,114","6,121","5,953","6,017","6,034","5,851","5,665","5,333","5,798","5,411","5,714","5,277","5,077","5,023","4,906","5,282","4,543","4,603","4,718"
"Education  [C21]","1,723","1,863","1,863","1,863","1,863","1,898","1,898","1,991","2,037","2,084","2,014","2,107","2,154","2,154","2,294","2,200","2,247","2,294","2,433","2,329","2,375","2,503","2,550","2,596","2,596","2,596","2,643","2,585","2,689","2,631","2,736","2,818","2,946","2,899","2,934","3,039","3,050","3,155","3,155","3,050","3,237","3,443","3,560","3,502","3,531","3,560","3,582","3,641","3,877","3,936","3,994","4,141","4,347","4,281","4,399","4,634","4,752","4,899","4,899","5,157","5,068","5,267","5,333","5,613","5,723","5,811","5,775","5,642","5,745","5,708","5,782","5,922","5,988","6,061","6,142","6,289","6,444","6,643","6,591","6,532","6,569","6,785","6,937","7,044","7,196","7,174","7,217","7,261","7,303","7,368","7,304","7,433","7,541","7,628","7,650","7,778","7,780","7,844","7,909","7,909","7,939","8,045","8,107","8,106","8,091","7,999","7,985","8,000","8,045","8,183","8,320","8,487","8,441","8,549","8,595","8,487","8,624","8,533","8,503","8,427","8,503","8,411","8,336","8,275","8,173","8,290","8,335","8,345","8,434","8,534","8,507","8,462","8,444","8,380","8,380","8,399","8,534","8,498","8,588","8,601","8,712","8,787","8,916","9,201","9,343","9,409","9,430","9,402","9,483","9,636","9,728","9,802","9,901","9,859","9,861","9,895","10,035","10,047","10,120","10,207","10,273","10,315","10,389","10,443","10,637","10,821","10,983","11,174","11,235","11,353","11,461","11,552","11,551","11,524","11,546","11,593","11,793","11,929","12,095","12,235","12,318","12,377","12,502","12,648","12,716","12,769","12,875","12,951","13,076","13,192","13,306","13,456","13,427","13,527","13,623","13,719","13,853","14,036","14,248","14,444","14,536","14,564","14,670","14,804","15,024","15,084","15,152","15,300","15,464","15,620","15,732","15,828","15,976","16,064","16,172","16,268","16,372","16,492","16,648","16,768","16,864","16,976","17,108","17,312","17,476","17,592","17,748","17,900","18,176","18,392","18,756","19,041","19,137","19,185","19,301","19,393","19,525","18,652","18,922","18,473","18,502","18,883","19,415","19,564","19,797","19,929","20,032","20,156","20,224"
"Education  [C211]","1,723","1,863","1,863","1,863","1,863","1,898","1,898","1,991","2,037","2,084","2,014","2,107","2,154","2,154","2,294","2,200","2,247","2,294","2,433","2,329","2,375","2,503","2,550","2,596","2,596","2,596","2,643","2,585","2,689","2,631","2,736","2,818","2,946","2,899","2,934","3,039","3,050","3,155","3,155","3,050","3,237","3,443","3,560","3,502","3,531","3,560","3,582","3,641","3,877","3,936","3,994","4,141","4,347","4,281","4,399","4,634","4,752","4,899","4,899","5,157","5,068","5,267","5,333","5,613","5,723","5,811","5,775","5,642","5,745","5,708","5,782","5,922","5,988","6,061","6,142","6,289","6,444","6,643","6,591","6,532","6,569","6,785","6,937","7,044","7,196","7,174","7,217","7,261","7,303","7,368","7,304","7,433","7,541","7,628","7,650","7,778","7,780","7,844","7,909","7,909","7,939","8,045","8,107","8,106","8,091","7,999","7,985","8,000","8,045","8,183","8,320","8,487","8,441","8,549","8,595","8,487","8,624","8,533","8,503","8,427","8,503","8,411","8,336","8,275","8,173","8,290","8,335","8,345","8,434","8,534","8,507","8,462","8,444","8,380","8,380","8,399","8,534","8,498","8,588","8,601","8,712","8,787","8,916","9,201","9,343","9,409","9,430","9,402","9,483","9,636","9,728","9,802","9,901","9,859","9,861","9,895","10,035","10,047","10,120","10,207","10,273","10,315","10,389","10,443","10,637","10,821","10,983","11,174","11,235","11,353","11,461","11,552","11,551","11,524","11,546","11,593","11,793","11,929","12,095","12,235","12,318","12,377","12,502","12,648","12,716","12,769","12,875","12,951","13,076","13,192","13,306","13,456","13,427","13,527","13,623","13,719","13,853","14,036","14,248","14,444","14,536","14,564","14,670","14,804","15,024","15,084","15,152","15,300","15,464","15,620","15,732","15,828","15,976","16,064","16,172","16,268","16,372","16,492","16,648","16,768","16,864","16,976","17,108","17,312","17,476","17,592","17,748","17,900","18,176","18,392","18,756","19,041","19,137","19,185","19,301","19,393","19,525","18,652","18,922","18,473","18,502","18,883","19,415","19,564","19,797","19,929","20,032","20,156","20,224"
"Food, beverage and accommodation services  [C22]","20,370","20,710","21,342","21,683","21,877","22,169","22,509","22,412","22,655","22,509","22,716","22,764","23,384","23,190","23,348","23,822","24,053","24,551","24,879","25,292","25,134","25,220","25,365","25,937","25,523","27,043","28,841","26,313","27,152","27,188","27,116","27,748","28,258","28,197","28,781","28,598","29,012","29,084","29,072","29,729","29,716","30,694","31,091","31,786","32,083","33,007","32,794","33,580","34,519","34,939","35,321","35,000","35,955","36,191","36,115","36,726","36,176","36,726","37,428","37,161","38,444","39,818","40,276","40,238","40,116","40,177","40,795","41,734","42,635","42,078","42,330","42,948","43,284","43,116","41,834","42,444","43,712","43,903","42,704","44,063","44,590","44,851","43,805","43,136","41,973","41,858","41,221","40,291","40,577","40,823","41,625","40,621","41,482","41,433","41,768","42,583","43,027","43,231","43,726","44,046","44,230","45,051","46,258","44,857","45,191","45,749","46,444","47,036","47,344","48,776","48,593","49,091","51,874","52,020","50,853","50,705","52,850","50,780","49,681","48,954","46,517","45,974","45,535","45,658","46,546","46,766","46,866","47,151","47,300","47,717","48,298","48,266","48,849","49,655","50,585","50,747","50,202","50,341","50,677","50,989","51,626","51,603","51,320","51,805","52,079","53,139","54,273","54,530","55,162","55,375","55,832","56,397","57,396","57,573","57,717","58,633","59,400","59,893","60,536","61,013","61,799","61,110","60,567","60,741","61,763","61,737","61,630","61,470","60,854","60,307","60,518","61,164","61,668","62,192","62,417","62,220","62,070","63,187","63,548","63,958","64,713","64,370","64,117","64,568","64,446","65,190","65,940","66,608","66,482","66,731","66,315","65,401","64,325","63,706","64,068","63,910","65,081","65,219","64,878","64,830","64,855","65,660","66,125","66,835","66,992","67,268","67,128","67,340","68,028","68,483","69,025","69,013","69,507","71,047","71,561","71,825","71,384","72,363","72,776","72,782","73,494","74,106","74,997","74,911","75,749","76,210","76,964","77,224","77,043","77,543","78,529","78,718","79,088","79,650","79,594","80,087","70,761","38,699","59,205","53,776","55,022","55,765","73,069","72,110","69,523","78,264","78,447","78,279","81,599"
"Food and beverage services  [C221]","18,299","18,606","19,117","19,373","19,680","19,884","20,191","20,242","20,293","20,242","20,497","20,446","20,957","20,702","20,906","21,264","21,417","21,865","22,120","22,644","22,286","22,274","22,478","22,887","22,631","24,165","25,277","23,296","24,318","24,216","23,960","24,510","25,123","25,123","25,366","25,059","25,673","25,737","25,788","26,095","26,452","27,460","27,869","28,247","28,365","29,224","29,145","29,924","30,790","31,160","31,459","31,089","31,916","32,066","32,034","32,609","32,105","32,688","33,317","33,058","34,010","35,396","35,726","35,774","35,640","35,593","36,081","36,931","37,931","37,340","37,356","37,915","38,301","38,057","36,695","37,136","38,324","38,561","37,490","38,891","39,403","39,714","38,645","38,028","36,933","36,878","36,426","35,868","36,194","36,105","36,602","35,948","36,278","36,540","36,963","37,523","37,816","38,366","38,868","39,157","39,415","40,233","41,068","39,955","40,278","40,810","41,352","41,834","41,930","43,257","43,062","43,327","46,073","46,177","44,999","44,669","46,538","44,530","43,406","42,636","40,290","39,777","39,218","39,341","40,183","40,422","40,663","40,827","40,700","41,041","41,628","41,564","42,059","42,835","43,658","43,866","43,469","43,595","43,728","44,183","44,826","44,622","44,349","44,697","44,941","45,882","47,076","47,217","47,628","48,081","48,428","48,839","49,833","50,169","50,352","51,259","51,904","52,393","52,917","53,346","54,117","53,453","53,023","53,109","53,943","53,762","53,642","53,627","52,866","52,777","52,824","53,193","53,635","54,084","54,291","54,016","53,687","54,735","54,954","55,241","55,929","55,567","55,291","55,640","55,503","56,157","56,801","57,482","57,400","57,624","57,208","56,424","55,460","54,960","55,164","55,015","55,972","55,979","55,590","55,491","55,447","56,079","56,494","57,128","57,324","57,544","57,432","57,596","58,220","58,555","59,017","59,041","59,491","60,928","61,399","61,614","61,266","62,194","62,614","62,678","63,274","63,694","64,263","64,098","64,986","65,291","65,800","66,012","65,814","66,138","66,879","66,993","67,225","67,500","67,209","67,411","59,246","33,520","50,920","45,803","46,818","47,691","62,796","61,093","58,777","66,042","65,943","65,658","68,725"
